指标,平均相似度,标准差,最小值,25%分位数,中位数,75%分位数,最大值
Jaccard相似系数,0.21692377914046593,0.042536995205942826,0.11403508771929824,0.18867924528301888,0.21428571428571427,0.24218500797448167,0.35454545454545455
余弦相似度,0.18976751401934558,0.04701072574273559,0.07023649477630683,0.15645536919139913,0.18481886400387457,0.21762800371337843,0.40406964147077556
